State,Abbreviation,Nameplate Capacity (MW),Net Generation (MWh),Coal,Oil,Gas,Other Fossil,Nuclear,Hydro,Biomass,Wind,Solar,Geo- thermal,Other unknown/ purchased fuel,Carbon Sources
Alabama,AL,"38,354",142863240.2,24,0,40.5,0,27.9,5.2,2.3,0,0,0,0,66.8
Alaska,AK,"3,439",6335033.511,9.4,13.1,48,0,0,26.2,0.7,2.7,0,0,0,71.1
Arizona,AZ,"40,135",108734630.8,28,0,31.4,0,29.8,6.6,0.2,0.5,3.4,0,0,59.6
Arkansas,AR,"19,536",60445059.07,39.4,0.1,30.1,0,22.2,6,2.3,0,0,0,0,71.8
California,CA,"106,793",197323837,0.2,0.1,49.2,0.7,9.6,14.5,3.1,6.8,9.8,5.8,0.2,53.5
Colorado,CO,"19,873",54418479.93,55,0,23.3,0,0,3,0.3,17.3,1,0,0.1,78.7
Connecticut,CT,"11,789",36496559.66,0.5,0.3,49.2,0,45.4,0.6,3.9,0,0.1,0,0,53.9
Delaware,DE,"4,011",8731261.003,5.5,0.7,89.2,3.2,0,0,0.8,0.1,0.6,0,0,99.4
District of Columbia,DC,25,76473.999,0,1.3,29.7,0,0,0,69,0,0,0,0,100
Florida,FL,"100,751",238226428.2,16.6,1.2,66.5,0,12.3,0.1,2.6,0,0.1,0,0.7,87.5
Georgia,GA,"51,336",132902274.3,28.5,0.2,39.8,0.1,25.9,1.4,3.4,0,0.7,0,0,72
Hawaii,HI,"3,502",9948844.667,15.1,66.7,0,0.6,0,0.9,5.6,6.4,0.9,2.6,1.1,89.2
Idaho,ID,"6,212",15660938.44,0.2,0,21.2,0,0,57.7,3.4,16.5,0.2,0.5,0.4,25.2
Illinois,IL,"62,748",187437381,31.7,0,9.3,0.1,52.6,0.1,0.2,5.7,0,0,0.2,41.6
Indiana,IN,"40,933",101397209.4,71.3,0.6,19.7,2.2,0,0.4,0.4,4.8,0.2,0,0.3,94.5
Iowa,IA,"22,304",54396530.72,46.3,0.5,5.4,0,8.6,1.7,0.5,36.9,0,0,0,52.8
Kansas,KS,"19,888",47599990.32,48.5,0.1,4.3,0,17.3,0.1,0.1,29.6,0,0,0,53
Kentucky,KY,"31,179",80273501.01,83.2,1.5,10.3,0.1,0,4.3,0.6,0,0,0,0,95.7
Louisiana,LA,"36,572",106842115.1,11.2,4.5,61.8,2,16.1,1,2.7,0,0,0,0.6,82.9
Maine,ME,"5,718",11514427.43,0.6,1,30.4,1.3,0,26.1,25.3,14.5,0,0,0.9,59.5
Maryland,MD,"18,265",37166746.52,37.2,0.4,14.6,0,39.7,3.7,2.3,1.4,0.6,0,0,54.6
Massachusetts,MA,"19,517",31951671.14,5.9,1.3,66.2,0,16.9,0.7,6.5,0.7,1.9,0,0,79.8
Michigan,MI,"36,977",112121789.9,36.1,0.7,26.1,1.6,28.1,0.7,2.4,4.2,0,0,0,66.9
Minnesota,MN,"21,832",60036475.9,38.7,0.1,14.9,0,23.1,2,3.6,17.5,0,0,0.2,57.4
Mississippi,MS,"19,600",62881294.96,8.5,0,79.7,0,9.4,0,2.4,0,0,0,0,90.6
Missouri,MO,"24,748",78611512.54,76.7,0.1,7.7,0,12,1.8,0.2,1.4,0,0,0,84.7
Montana,MT,"7,259",27783529.99,51.4,1.7,1.7,0,0,36.3,0.1,7.7,0,0,1.2,56
Nebraska,NE,"10,004",37197843.2,58.8,0,1.4,0,25.1,4.1,0.3,10.2,0,0,0,60.5
Nevada,NV,"19,954",39228694,5.5,0,73.7,0,0,4.6,0.1,0.9,6.5,8.5,0.1,79.5
New Hampshire,NH,"4,650",19282493.05,2.2,0.2,24.6,0,55.8,5.9,9,2.2,0,0,0,36
New Jersey,NJ,"28,577",77598196.67,1.7,0.2,56.3,0.3,38.4,0,2,0,1.1,0,0.1,60.5
New Mexico,NM,"13,286",32922552,55.8,0.2,30.2,0,0,0.4,0.1,11,2.3,0,0,86.2
New York,NY,"51,336",134090832.6,1.3,0.5,42.1,0,31,19.7,2.3,2.9,0.1,0,0,46.3
North Carolina,NC,"48,224",130768152.7,28.6,0.2,30,0.3,32.7,3.4,2,0,2.6,0,0.2,61.3
North Dakota,ND,"9,442",37856451.76,70.2,0.1,2.8,0.1,0,5.1,0,21.6,0,0,0.1,73.4
Ohio,OH,"46,931",118922077.8,57.8,1,24.3,0.6,14.1,0.4,0.6,1,0.1,0,0,84.3
Oklahoma,OK,"33,525",78655008,24.4,0,46.4,0,0,3.2,0.5,25.5,0,0,0,71.3
Oregon,OR,"19,278",60181811.83,3.2,0,25.4,0,0,57.4,1.7,11.9,0.1,0.3,0,30.3
Pennsylvania,PA,"68,559",215066508.5,25.4,0.2,31.6,0.2,38.6,0.8,1.5,1.6,0,0,0,58.9
Rhode Island,RI,"31,485",96985763.86,21.7,0.1,16.9,0,57.6,1.3,2.5,0,0,0,0,41.1
South Carolina,SC,"5,438",10289415.72,20.2,0,8.9,0,0,40.2,0,30.6,0,0,0,29.2
South Dakota,SD,"27,973",79340633.31,39.3,0.2,14.3,0,37.3,7.7,1.2,0,0.1,0,0,54.9
Tennessee,TN,"182,434",453941342.1,26.7,0,49.8,0.6,9.3,0.3,0.4,12.7,0.2,0,0.1,77.6
Texas,TX,"11,044",38133928,68,0.1,22.8,0.1,0,2,0.2,2.2,2.8,1.3,0.5,91.8
Utah,UT,"34,581",92554816.45,17.8,0.6,44.2,0,32.1,0.3,4.9,0,0,0,0,67.5
Vermont,VT,"34,016",114086582.7,4,0,9.6,0.4,8.4,68.7,1.8,7,0,0,0,15.8
Virginia,VA,796,1911207.085,0,0.2,0.1,0,0,56.4,25,15.2,3.1,0,0,25.3
Washington,WA,"23,414",64966610.54,51.4,0.2,23.8,0,15.6,4.3,2.3,2.3,0,0,0,77.7
West Virginia,WV,"13,744",46656629.98,85.8,0.1,1.7,0.8,0,2.1,0,9.4,0,0,0.1,88.5
Wisconsin,WI,"20,626",75942967.56,94.2,0.2,1.6,0,0,2.2,0,1.9,0,0,0,96
Wyoming,WY,"1,515,007",4075322641,30.4,0.6,33.8,0.3,19.8,6.4,1.7,5.6,0.9,0.4,0.1,67
