State,Square Miles,"Population estimate, July 1, 2018",Population Density,Rank
Alabama,50645.33,4887871,96.51,27
Alaska,570640.95,737438,1.29,50
Arizona,113594.08,7171646,63.13,33
Arkansas,52035.48,3013825,57.92,34
California,155779.22,39557045,253.93,11
Colorado,103641.89,5695564,54.95,37
Connecticut,4842.36,3572665,737.79,4
Delaware,1948.54,967171,496.36,6
District of Columbia,61.05,702455,11506.22,--
Florida,53624.76,21299325,397.19,8
Georgia,57513.49,10519475,182.90,17
Hawaii,6422.63,1420491,221.17,13
Idaho,82643.12,1754208,21.23,44
Illinois,55518.93,12741080,229.49,12
Indiana,35826.11,6691878,186.79,16
Iowa,55857.13,3156145,56.50,36
Kansas,81758.72,2911505,35.61,41
Kentucky,39486.34,4468402,113.16,23
Louisiana,43203.9,4659978,107.86,25
Maine,30842.92,1338404,43.39,39
Maryland,9707.24,6042718,622.50,5
Massachusetts,7800.06,6902149,884.88,3
Michigan,56538.9,9995915,176.80,18
Minnesota,79626.74,5611179,70.47,30
Mississippi,46923.27,2986530,63.65,32
Missouri,68741.52,6126452,89.12,28
Montana,145545.8,1062305,7.30,48
Nebraska,76824.17,1929268,25.11,43
Nevada,109781.18,3034392,27.64,42
New Hampshire,8952.65,1356458,151.51,21
New Jersey,7354.22,8908520,1211.35,1
New Mexico,121298.15,2095428,17.28,45
New York,47126.4,19542209,414.68,7
North Carolina,48617.91,10383620,213.58,15
North Dakota,69000.8,760077,11.02,47
Ohio,40860.69,11689442,286.08,10
Oklahoma,68594.92,3943079,57.48,35
Oregon,95988.01,4190713,43.66,38
Pennsylvania,44742.7,12807060,286.24,9
Puerto Rico,3423.78,3195153,933.22,--
Rhode Island,1033.81,1057315,1022.74,2
South Carolina,30060.7,5084127,169.13,19
South Dakota,75811,882235,11.64,46
Tennessee,41234.9,6770010,164.18,20
Texas,261231.71,28701845,109.87,24
Utah,82169.62,3161105,38.47,40
Vermont,9216.66,626299,67.95,31
Virginia,39490.09,8517685,215.69,14
Washington,66455.52,7535591,113.39,22
West Virginia,24038.21,1805832,75.12,29
Wisconsin,54157.8,5813568,107.34,26
Wyoming,97093.14,577737,5.95,49
