State,Abbreviation,"Rank in the fifty states, 2018","Population estimate, July 1, 2018","Percent of the total U.S. population, 2018"
Alabama,AL,24,4887871,1.48%
Alaska,AK,48,737438,0.22%
Arizona,AZ,14,7171646,2.17%
Arkansas,AR,33,3013825,0.91%
California,CA,1,39557045,11.96%
Colorado,CO,21,5695564,1.72%
Connecticut,CT,29,3572665,1.08%
Delaware,DE,45,967171,0.29%
District of Columbia,DC,—,702455,0.21%
Florida,FL,3,21299325,6.44%
Georgia,GA,8,10519475,3.18%
Hawaii,HI,40,1420491,0.43%
Idaho,ID,39,1754208,0.53%
Illinois,IL,6,12741080,3.85%
Indiana,IN,17,6691878,2.02%
Iowa,IA,31,3156145,0.95%
Kansas,KS,35,2911505,0.88%
Kentucky,KY,26,4468402,1.35%
Louisiana,LA,25,4659978,1.41%
Maine,ME,42,1338404,0.40%
Maryland,MD,19,6042718,1.83%
Massachusetts,MA,15,6902149,2.09%
Michigan,MI,10,9995915,3.02%
Minnesota,MN,22,5611179,1.70%
Mississippi,MS,34,2986530,0.90%
Missouri,MO,18,6126452,1.85%
Montana,MT,43,1062305,0.32%
Nebraska,NE,37,1929268,0.58%
Nevada,NV,32,3034392,0.92%
New Hampshire,NH,41,1356458,0.41%
New Jersey,NJ,11,8908520,2.69%
New Mexico,NM,36,2095428,0.63%
New York,NY,4,19542209,5.91%
North Carolina,NC,9,10383620,3.14%
North Dakota,ND,47,760077,0.23%
Ohio,OH,7,11689442,3.53%
Oklahoma,OK,28,3943079,1.19%
Oregon,OR,27,4190713,1.27%
Pennsylvania,PA,5,12807060,3.87%
Rhode Island,RI,44,1057315,0.32%
South Carolina,SC,23,5084127,1.54%
South Dakota,SD,46,882235,0.27%
Tennessee,TN,16,6770010,2.05%
Texas,TX,2,28701845,8.68%
Utah,UT,30,3161105,0.96%
Vermont,VT,49,626299,0.19%
Virginia,VA,12,8517685,2.58%
Washington,WA,13,7535591,2.28%
West Virginia,WV,38,1805832,0.55%
Wisconsin,WI,20,5813568,1.76%
Wyoming,WY,50,577737,0.17%
